Prompt,answer
How do I exchange my existing commercial vehicle?,"To exchange your commercial vehicle click on the Exchange button in the Navigational Menu Bar. 
Clicking on the exchange button leads to the TATA OK page which helps in buying, 
selling or exchanging commercial vehicles of any make, model or vintage."
How do I get to know the final offer price after I have booked my vehicle?,The booking amount paid by you Is used to simply reserve the vehicle in your name. The final offer price is communicated by the dealer.
How do I know my booking has been confirmed?,"Once you have completed the payment, you will receive a Thank You message confirming your payment. 
This denotes that your preferred commercial vehicle has been booked"
Where can I watch a video to learn more about the booking process?,"The Help and Booking Guide buttons are present on the top right hand corner of the screen at all times.
 Click on the Booking Guide button to watch a video that explains the booking process in detail."
How do I calculate the EMI for the commercial vehicle I want to buy?,"Once you have opened a vehicle page, you can scroll below the ‘Specifications’ section and the Video section to view the EMI Calculator section. 
Use the sliders present for various parameters such as ‘Loan amount’, ‘Rate of Interest’ and ‘Loan Tenure’ to calculate the 
EMI you will need to pay for your preferred commercial vehicle."
What is the maximum price of the car,one core
What is the minimum price of the car,ten lakh
who is the programmer of the web portal,Unknown coder
which year the sell of cars were high,2019
when the sales was down,2020
what is the profit in 2020,30 thousand core
how much of workers works in the company,around 20000 people
